Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4
SPR,1,6/9/2021,NOVI,D52,RROYXX,M,,,42,Y,0,1802400296,pos,532.5202838,21ARMI0444,"22.5c, tail clip 21ARMI0444",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D53,YOBOXX,F,,,43,Y,0,1802400305,pos,528.5435213,21ARMI0445,"21.9c, tail clip 21ARMI0445, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D58,XXBYOR,F,,,35,Y,0,1802400233,pos,5654.306714,21ARMI0446,"21.8c, tail clip 21ARMI0446",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D56,XXXBOR,F,,,32,Y,0,1802400302,pos,2477.361058,21ARMI0447,"22.0c, tail clip 21ARMI0447",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D56,XXRXOR.b,M,,,33,Y,0,1802400227,pos,6233.035148,21ARMI0448,"22.0c, tail clip 21ARMI0448, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D3,XBXXOR,M,,,40,Y,0,1802400303,pos,7527.945948,21ARMI0449,"22.9c, tail clip 21ARMI0449",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D1,XXBXOR,F,,,37,Y,0,1802400232,pos,9216.633526,21ARMI0450,"22.4c, tail clip 21ARMI0450, bleeding a little",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T35,XXRBOR.F,F,,,44,Y,0,1802400229,pos,6453.462618,21ARMI0451,"14.3c, tail clip 21ARMI0451, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D10,XXOXOR,M,,,34,Y,0,1802400304,pos,885.946461,21ARMI0452,"19.4c, tail clip 21ARMI0452, bleeding a little",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T10,XXOROR,F,,,38,Y,0,1802400234,pos,2623.30467,21ARMI0453,"21.5c, red mark on belly, tail clip 21ARMI0453, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T35,XXRXOR.a,M,,,46,Y,0,1802400230,pos,154.5948381,21ARMI0454,"14.3c, tail clip 21ARMI0454",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T30,XBRBXB,M,,,42,Y,0,1802400326,neg,0,21ARMI0455,"red spot on belly, tail clip 21ARMI0455, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T35,XBOYXB,M,,,38,Y,0,1802400330,pos,1013.922349,21ARMI0456,"14.3c, tail clip 21ARMI0456, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T35,XBRXXB,F,,,34,Y,0,1802400328,pos,756.3940623,21ARMI0457,"tail clip 21ARMI0457, bleeding",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,T35,XXYOOR,F,,,36,Y,0,1802400329,pos,113845.3872,21ARMI0458,"14.3c, tail clip 21ARMI0458",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D3,XXBOOR,M,,,37,Y,0,1802400301,pos,2058.221536,21ARMI0459,"22.9c, tail clip 21ARMI0459",,0,,,,,,,,,,,,
SPR,1,6/9/2021,NOVI,D52,OXXOXO,F,,,37,Y,0,1802400226,pos,14510.15504,21ARMI0460,"21.7c, tail clip 21ARMI0460, bleeding a little after clip",,0,,,,,,,,,,,,
SPR,1,5/16/2019,NOVI,T17,XOXOXX,M,,,42,Y,0,1800501088,pos,11111.33338,UNKNOWN CODE,In amplexus,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T15,XRBXXX,M,,,43,Y,0,1800501087,pos,558.616185,UNKNOWN CODE,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T42,XOORXX.1,F,,,42,Y,0,1800501098,pos,915.5868549,UNKNOWN CODE,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,D7,OXBXXX,M,,,42,Y,0,1800501102,pos,9668.227447,UNKNOWN CODE,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,5/16/2019,NOVI,T61,XRRXXX,M,,,40,Y,0,1800501083,pos,5688.04426,UNKNOWN CODE,,,0,,,9.79971627,9.059212819,20.04712809,21.00947058,,18.88888889,15.07936508,16.42857143,13.65079365,
SPR,1,6/14/2019,NOVI,D62,XROXXX,M,,,38,Y,0,1800500488,pos,32228.9808,UNKNOWN CODE,,,0,,,12.41259722,13.62433588,12.81282974,12.10445257,11.32441071,14.44444444,26.42857143,23.25396825,22.61904762,23.49206349
