"","Mark","JD","bd_load","log_bd_load"
"417",1398,168,75228.11747,11.2282936353941
"418",1402,138,146193.1761,11.8926909903471
"419",1403,167,123630.1787,11.7250580470492
"420",1403,189,39537.35376,10.5850264610577
"421",1407,138,0,0
"422",1408,167,21426.565,9.97243345625344
"423",1408,188,23992.72153,10.0855474721894
"424",1414,142,36087.00962,10.4937159456588
"425",1421,80,0,0
"426",1424,138,25737.23598,10.1557329465561
"427",1425,167,80149.92676,11.2916667207906
"428",1431,167,12396.76245,9.42527128772986
"429",1432,134,69.36855918,4.25374656085055
"430",1434,167,6081.982745,8.7132504377229
"431",1436,78,0,0
"432",1436,139,89749.09758,11.4047843935923
"433",1446,140,115.1718016,4.75507014371192
"434",1447,189,199.4703136,5.300666173939
"435",1448,99,0,0
"436",1452,138,0,0
"437",1453,168,270868.0745,12.5093908631956
"438",1453,188,12473.0249,9.43140375323607
"439",1454,166,14870.50578,9.60720229727298
"440",1458,167,23846.02547,10.0794147702995
"441",1459,134,102.4338571,4.63893234658262
"442",1463,78,0,0
"443",1465,138,293748.2855,12.5904819120971
"444",1466,167,42038.0631,10.6463545388244
"445",1470,140,26738.36548,10.1938921211298
"446",1471,167,101461.2687,11.5274422714069
"447",1475,106,134.2560632,4.90716974629664
"448",1476,162,122539.8107,11.7161994020567
"449",1487,138,1107.840567,7.01107021416608
"450",1488,139,1659.483631,7.41486418289408
"451",1488,167,69415.84578,11.1478848516218
"452",1488,188,26.23302541,3.30443040627958
"453",1500,77,0,0
"454",1506,75,0,0
"455",1513,135,723.1282903,6.58496857323522
"456",1523,187,0,0
"457",1524,75,0,0
"458",1525,188,2169.099991,7.68252852427475
"459",1530,75,0,0
"460",1534,106,0,0
"461",1542,187,3302.767288,8.10281869874628
"462",1547,75,0,0
"463",1547,167,160389.4122,11.9853661983138
"464",1548,167,3203.025712,8.07216333312484
"465",1548,187,872.1684604,6.77212850446322
"466",1560,99,0,0
"467",1561,140,55.81565748,4.03981194759906
